q0	[27, 34, 37, 41, 42, 51, 64, 75, 85, 149, 188, 191, 192, 194, 214, 268, 290, 319, 428, 464, 465, 481, 482, 509, 523, 540, 575, 581, 588, 602, 649, 679, 710, 721, 725, 782, 812, 819, 867, 868, 893, 1161, 1163, 1194, 1195, 1280]
q1	[28, 67, 196, 212, 213, 308, 318, 323, 428, 498, 635, 668, 669, 673, 689, 691, 694, 699, 703, 708, 719, 730, 732, 737, 739, 1135]
q2	[59, 84, 113, 122, 125, 130, 132, 135, 137, 139, 345, 358, 362, 371, 411, 444, 453, 460, 462, 468, 531, 536, 539, 552, 553, 554, 584, 589, 598, 639, 659, 663, 802, 900, 908, 910, 1026, 1052, 1168, 1178, 1180, 1189, 1190, 1325]
q3	[309, 314, 320, 328, 331, 419, 600, 979]
q4	[31, 55, 64, 113, 123, 136, 186, 187, 190, 240, 338, 369, 399, 450, 452, 470, 524, 527, 641, 647, 691, 1034, 1245, 1355]
q5	[399]
q6	[309, 319, 331, 374, 375, 644, 723, 724]
q7	[36, 39, 64, 506, 528, 706, 759, 801, 863, 899, 1023, 1160, 1224, 1225, 1266, 1381, 1408, 1413]
q8	[5, 173, 174, 178, 211, 319, 323, 328, 565, 571, 576, 599, 1076, 1119, 1128, 1129, 1130, 1158, 1160, 1161, 1163, 1164, 1184, 1189, 1190, 1223, 1224, 1266, 1293, 1322, 1326, 1381, 1387, 1426]
q9	[24, 174, 227, 228, 232, 276, 398, 461, 535, 539, 573, 604, 614, 828, 971, 1044, 1081, 1115, 1116, 1118, 1122, 1140, 1158, 1172, 1203, 1384]
q10	[1, 14, 31, 32, 36, 40, 62, 66, 86, 89, 94, 109, 112, 115, 120, 152, 159, 162, 164, 165, 168, 171, 198, 201, 214, 218, 222, 242, 251, 253, 265, 308, 313, 326, 344, 354, 355, 359, 370, 371, 372, 380, 385, 390, 394, 397, 414, 438, 439, 452, 455, 512, 532, 543, 546, 559, 601, 604, 655, 656, 665, 713, 715, 717, 718, 722, 727, 730, 732, 736, 737, 738, 762, 770, 771, 787, 788, 820, 827, 836, 838, 844, 898, 951, 952, 964, 966, 1079, 1080, 1088, 1093, 1094, 1095, 1097, 1098, 1101, 1109, 1112, 1113, 1120, 1121, 1127, 1150, 1154, 1155, 1157, 1159, 1222, 1227, 1234, 1240, 1253, 1255, 1256, 1263, 1267, 1274, 1283, 1294, 1297, 1302, 1308, 1318, 1372, 1403, 1417, 1445]
q11	[52, 132, 135, 340, 346, 375, 898, 1189, 1190, 1208, 1289, 1292, 1362]
q12	[26, 27, 41, 48, 49, 51, 56, 58, 60, 66, 71, 72, 74, 76, 83, 113, 119, 127, 133, 136, 138, 145, 152, 163, 166, 174, 175, 193, 197, 222, 243, 265, 306, 308, 310, 326, 327, 346, 388, 457, 473, 483, 485, 492, 493, 507, 508, 513, 518, 522, 524, 531, 537, 564, 594, 595, 607, 633, 645, 655, 657, 658, 695, 701, 704, 719, 727, 730, 751, 761, 779, 784, 794, 805, 814, 825, 826, 828, 834, 955, 965, 1053, 1123, 1125, 1126, 1137, 1138, 1142, 1143, 1281, 1306]
q13	[44, 419, 889]
q14	[17, 26, 35, 48, 55, 58, 66, 73, 82, 125, 157, 163, 166, 191, 213, 221, 222, 249, 280, 291, 294, 298, 306, 330, 335, 337, 347, 364, 365, 366, 367, 371, 380, 445, 457, 464, 465, 481, 489, 490, 494, 496, 506, 519, 527, 590, 593, 622, 628, 638, 689, 719, 722, 723, 726, 727, 730, 778, 821, 833, 838, 847, 848, 864, 871, 896, 1099, 1160, 1247, 1304, 1352, 1357, 1362, 1365, 1367, 1370, 1371, 1373, 1374, 1375, 1376, 1409]
q15	[122, 125, 168, 196, 374, 480, 496, 507, 527, 528, 533, 733, 853, 884, 946, 996, 1010, 1012, 1072, 1120, 1145, 1170, 1192, 1197, 1206, 1365]
q16	[33, 52, 251, 285, 374, 375, 464, 466, 481, 490, 506, 528, 577, 581, 632, 679, 720, 723, 762, 1013, 1056, 1057, 1058, 1059, 1370, 1414]
q17	[65, 79, 174, 694, 708, 832, 1025, 1091, 1179, 1291, 1451]
q18	[25, 37, 38, 61, 64, 70, 76, 116, 122, 158, 174, 178, 319, 418, 420, 421, 433, 441, 478, 482, 486, 487, 500, 507, 510, 517, 519, 520, 537, 561, 569, 595, 635, 640, 668, 669, 670, 677, 686, 688, 694, 697, 698, 699, 703, 705, 707, 708, 713, 789, 801, 809, 811, 819, 834, 835, 850, 854, 861, 866, 867, 868, 870, 874, 875, 992, 1090, 1119, 1123, 1129, 1133, 1138, 1161, 1163, 1193, 1195, 1198, 1229, 1233, 1410, 1414]
